ID,Y
1,0
2,0
3,0
4,0
5,0
6,0
7,69
8,352
9,548
10,705
11,832
12,923
13,943
14,932
15,862
16,740
17,613
18,294
19,152
20,5
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,31
32,202
33,444
34,516
35,550
36,709
37,615
38,657
39,591
40,578
41,504
42,110
43,72
44,5
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,28
56,77
57,104
58,113
59,165
60,225
61,243
62,225
63,231
64,231
65,225
66,226
67,112
68,3
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,79
80,241
81,526
82,676
83,802
84,835
85,898
86,861
87,784
88,707
89,578
90,303
91,106
92,5
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,72
104,229
105,353
106,364
107,779
108,850
109,806
110,793
111,753
112,686
113,554
114,308
115,110
116,4
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,88
128,328
129,547
130,711
131,809
132,882
133,772
134,911
135,820
136,638
137,564
138,223
139,118
140,4
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,83
152,282
153,494
154,665
155,813
156,880
157,899
158,849
159,770
160,718
161,494
162,101
163,122
164,3
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,30
176,34
177,27
178,21
179,40
180,72
181,29
182,64
183,160
184,130
185,177
186,229
187,129
188,5
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,86
200,188
201,356
202,550
203,674
204,782
205,813
206,840
207,765
208,668
209,536
210,269
211,109
212,4
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,55
224,236
225,460
226,585
227,729
228,766
229,872
230,635
231,743
232,666
233,548
234,319
235,132
236,3
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,66
248,232
249,473
250,629
251,753
252,859
253,872
254,853
255,623
256,666
257,548
258,319
259,132
260,3
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,56
272,232
273,501
274,649
275,779
276,865
277,874
278,703
279,673
280,675
